ImageId,Label
1,5
2,6
3,9
4,4
5,8
6,7
7,3
8,1
9,6
10,8
11,3
12,7
13,0
14,8
15,9
16,3
17,3
18,0
19,9
20,3
21,9
22,1
23,1
24,1
25,7
26,1
27,3
28,7
29,4
30,9
31,9
32,6
33,4
34,8
35,6
36,8
37,9
38,8
39,4
40,6
41,4
42,7
43,1
44,4
45,8
46,4
47,3
48,2
49,3
50,7
51,6
52,0
53,4
54,3
55,8
56,2
57,1
58,1
59,2
60,8
61,9
62,1
63,7
64,5
65,0
66,2
67,4
68,9
69,8
70,4
71,6
72,3
73,4
74,2
75,6
76,8
77,3
78,9
79,1
80,8
81,2
82,0
83,1
84,8
85,9
86,6
87,7
88,0
89,2
90,7
91,5
92,5
93,2
94,2
95,7
96,2
97,0
98,7
99,7
100,7
101,1
102,0
103,5
104,2
105,7
106,1
107,2
108,3
109,5
110,0
111,3
112,6
113,4
114,4
115,0
116,9
117,2
118,0
119,3
120,0
121,5
122,7
123,5
124,5
125,3
126,3
127,5
128,7
129,1
130,9
131,0
132,3
133,5
134,3
135,5
136,5
137,8
138,1
139,1
140,6
141,9
142,1
143,4
144,4
145,2
146,5
147,7
148,9
149,8
150,1
151,5
152,8
153,2
154,8
155,2
156,3
157,7
158,8
159,7
160,8
161,9
162,3
163,1
164,8
165,4
166,4
167,9
168,6
169,5
170,2
171,6
172,7
173,4
174,6
175,5
176,5
177,9
178,0
179,4
180,1
181,4
182,3
183,8
184,6
185,0
186,7
187,4
188,3
189,5
190,2
191,6
192,2
193,5
194,2
195,6
196,2
197,9
198,7
199,8
200,7
201,8
202,9
203,5
204,9
205,7
206,1
207,8
208,4
209,1
210,2
211,6
212,7
213,5
214,6
215,7
216,3
217,4
218,2
219,0
220,1
221,4
222,4
223,0
224,1
225,2
226,3
227,7
228,2
229,0
230,0
231,3
232,0
233,7
234,1
235,7
236,0
237,6
238,0
239,2
240,0
241,3
242,2
243,9
244,8
245,5
246,6
247,7
248,9
249,1
250,4
251,8
252,9
253,5
254,7
255,2
256,7
257,2
258,1
259,9
260,1
261,6
262,4
263,8
264,3
265,9
266,8
267,2
268,0
269,5
270,1
271,5
272,4
273,2
274,8
275,5
276,8
277,4
278,3
279,6
280,6
281,3
282,7
283,6
284,0
285,8
286,5
287,7
288,8
289,9
290,9
291,3
292,7
293,7
294,5
295,4
296,0
297,2
298,3
299,8
300,3
301,6
302,7
303,8
304,2
305,0
306,3
307,4
308,4
309,4
310,6
311,7
312,6
313,9
314,0
315,4
316,3
317,7
318,1
319,2
320,5
321,3
322,1
323,5
324,9
325,5
326,2
327,0
328,1
329,3
330,3
331,6
332,1
333,5
334,8
335,3
336,4
337,4
338,8
339,6
340,4
341,2
342,2
343,1
344,1
345,6
346,8
347,3
348,6
349,0
350,8
351,3
352,4
353,8
354,8
355,3
356,1
357,3
358,9
359,0
360,7
361,3
362,2
363,8
364,8
365,4
366,5
367,4
368,1
369,1
370,6
371,4
372,3
373,7
374,9
375,7
376,6
377,9
378,4
379,1
380,7
381,6
382,8
383,8
384,9
385,2
386,6
387,6
388,1
389,5
390,7
391,1
392,7
393,4
394,9
395,6
396,1
397,1
398,3
399,7
400,3
401,7
402,9
403,5
404,1
405,1
406,4
407,2
408,3
409,3
410,8
411,8
412,0
413,7
414,4
415,4
416,5
417,1
418,8
419,5
420,4
421,9
422,6
423,6
424,8
425,8
426,8
427,5
428,4
429,9
430,9
431,1
432,2
433,8
434,2
435,6
436,3
437,8
438,9
439,1
440,6
441,1
442,5
443,7
444,4
